"","X","Y","OBJECTID","Call_Taken","Location","Latitude","Longitude","Ward","Community","Neighborho","Tow_Zone","Day","Snow_Emerg","distances_m","time_s"
"1",-93.2880210002689,45.0131110003724,1,"02/12/2019 09:18pm","3201-3299 lyndale ave n ,Minneapolis,MN",45.013111,-93.288021,4,"Camden","McKinley",1,1,"Westminster",4353.6,427.2
"2",-93.2625880001361,44.9413899997488,2,"02/12/2019 09:19pm","3398 Chicago ave s,Minneapolis,MN",44.94139,-93.262588,9,"Powderhorn","Central",5,1,"Westminster",6177.7,659.1
"3",-93.2626060000668,44.9431590003876,3,"02/12/2019 09:19pm","3301 Chicago Avenue South,Minneapolis,MN",44.943159,-93.262606,9,"Powderhorn","Central",5,1,"Westminster",5981.1,643.4
"4",-93.2880360000613,45.0167079998744,4,"02/12/2019 09:26pm","3400-3498 lyndale ave n ,Minneapolis,MN",45.016708,-93.288036,4,"Camden","McKinley",1,1,"Westminster",4752.6,459.1
"5",-93.2880489997615,45.0184900002134,5,"02/12/2019 09:34pm","3498 Lyndale Ave n,Minneapolis,MN",45.01849,-93.288049,4,"Camden","McKinley",1,1,"Westminster",4953,475.3
"6",-93.2775589998479,44.9637969997318,6,"02/12/2019 09:38pm","1 E 19TH ST,Minneapolis,MN",44.963797,-93.277559,6,"Central","Steven's Square - Loring Heights",3,1,"Westminster",3352.6,380.4
"7",-93.2880360000613,45.0167079998744,7,"02/12/2019 09:40pm","3400 Lyndale Ave n ,Minneapolis,MN",45.016708,-93.288036,4,"Camden","McKinley",1,1,"Westminster",4752.6,459.1
"8",-93.2769390000348,44.9641150000073,8,"02/12/2019 09:45pm","16 EAST / 19TH ST,Minneapolis,MN",44.964115,-93.276939,6,"Central","Steven's Square - Loring Heights",3,1,"Westminster",3268.3,374
"9",-93.2769390000348,44.9641150000073,9,"02/12/2019 09:47pm","16 19th st e,Minneapolis,MN",44.964115,-93.276939,6,"Central","Steven's Square - Loring Heights",3,1,"Westminster",3268.3,374
"10",-93.262901000181,44.9396860003087,10,"02/12/2019 10:04pm","3458 Chicago Ave,Minneapolis,MN",44.939686,-93.262901,9,"Powderhorn","Central",5,1,"Westminster",6559.1,671.4
"11",-93.2353110004023,44.9876780002396,11,"02/12/2019 10:08pm","1116 Como Ave se,Minneapolis,MN",44.987678,-93.235311,2,"University","Como",4,1,"Westminster",5708.8,666.6
"12",-93.2797009997013,44.9483590000679,12,"02/12/2019 10:10pm","3000 Blaisdell ,Minneapolis,MN",44.948359,-93.279701,10,"Powderhorn","Whittier",3,1,"Westminster",5320.6,535.2
"13",-93.2881130000149,45.0297860004237,13,"02/12/2019 10:11pm","4100 lyndale ave n,Minneapolis,MN",45.029786,-93.288113,4,"Camden","Webber - Camden",1,1,"Westminster",6568.6,511.1
"14",-93.2343680000831,44.9880029999385,14,"02/12/2019 10:14pm","1203 como ave se,Minneapolis,MN",44.988003,-93.234368,2,"University","Como",4,1,"Westminster",5781.4,674.6
"15",-93.2881130000149,45.0297860004237,15,"02/12/2019 10:14pm","4100 Lyndale Ave N,Minneapolis,MN",45.029786,-93.288113,4,"Camden","Webber - Camden",1,1,"Westminster",6568.6,511.1
"16",-93.2881130000149,45.0297860004237,16,"02/12/2019 10:14pm","4100 lyndale ave n,Minneapolis,MN",45.029786,-93.288113,4,"Camden","Webber - Camden",1,1,"Westminster",6568.6,511.1
"17",-93.2627100003662,44.9016570002704,17,"02/12/2019 10:18pm","5580 Chicago Avenue South,Minneapolis,MN",44.901657,-93.26271,11,"Nokomis","Diamond Lake",5,1,"Westminster",11213.9,915.7
"18",-93.2862230000914,45.0384659996063,18,"02/12/2019 10:19pm","4600-4698 lyndale ave n ,Minneapolis,MN",45.038466,-93.286223,4,"Camden","Camden Industrial",1,1,"Westminster",8530.2,595.9
"19",-93.2848560000044,45.0431160000035,19,"02/12/2019 10:21pm","4816 Lyndale Ave n,Minneapolis,MN",45.043116,-93.284856,4,"Camden","Lind - Bohanon",1,1,"Westminster",7885.4,503
"20",-93.2941420001532,45.0100840001765,20,"02/12/2019 10:23pm","2914 emerson,Minneapolis,MN",45.010084,-93.294142,5,"Near North","Hawthorne",1,1,"Westminster",4698.6,471.4
"21",-93.2700339999691,44.9802569997608,21,"02/12/2019 10:23pm","300 Block of central,Minneapolis,MN",44.980257,-93.270034,3,"Central","Downtown West",3,1,"Westminster",2948.7,348.8
"22",-93.2911190001417,45.0368469995894,22,"02/12/2019 10:24pm","4500-4598 Bryant ave n ,Minneapolis,MN",45.036847,-93.291119,4,"Camden","Lind - Bohanon",1,1,"Westminster",8803.5,598.3
"23",-93.262861000135,44.9238779997699,23,"02/12/2019 10:25pm","4340 Chicago Avenue South,Minneapolis,MN",44.923878,-93.262861,8,"Nokomis","Regina",5,1,"Westminster",8327.6,824.5
"24",-93.2628220001351,44.9298570003004,24,"02/12/2019 10:28pm","4020 Chicago Avenue South,Minneapolis,MN",44.929857,-93.262822,8,"Powderhorn","Bryant",5,1,"Westminster",7666.6,769.7
"25",-93.2368330004426,45.0300750002611,25,"02/12/2019 10:29pm","3419 Johnson st ne,Minneapolis,MN",45.030075,-93.236833,1,"Northeast","Waite Park",2,1,"Westminster",9649.1,891.9
"26",-93.2474299998946,45.0256799999321,26,"02/12/2019 10:31pm","3194 Central Ave NE,Minneapolis,MN",45.02568,-93.24743,1,"Northeast","Columbia Park",2,1,"Westminster",8363.2,793.1
"27",-93.262901000181,44.9160029999385,27,"02/12/2019 10:33pm","4800 Chicago ave s,Minneapolis,MN",44.916003,-93.262901,8,"Nokomis","Field",5,1,"Westminster",9563.9,828.3
"28",-93.248711999659,44.9846920001357,28,"02/12/2019 10:35pm","503 unniversity ave se,Minneapolis,MN",44.984692,-93.248712,3,"University","Marcy Holmes",4,1,"Westminster",4684.3,527.7
"29",-93.2626890002971,44.9483569999756,29,"02/12/2019 10:35pm","3000 Chicago ave s,Minneapolis,MN",44.948357,-93.262689,6,"Phillips","Phillips West",3,1,"Westminster",5403.9,597.1
"30",-93.2368070001429,45.02146499981,30,"02/12/2019 10:36pm","2935 Johnson st NE,Minneapolis,MN",45.021465,-93.236807,1,"Northeast","Audubon Park",2,1,"Westminster",8691.5,815.3
"31",-93.2797059999319,44.9465739995904,31,"02/12/2019 10:37pm","3100 block of Blaisdell Avenue so,Minneapolis,MN",44.946574,-93.279706,8,"Powderhorn","Lyndale",5,1,"Westminster",5740.2,592.3
"32",-93.3136430001243,45.0333740004098,32,"02/12/2019 10:38pm","4299 Thomas Ave n ,Minneapolis,MN",45.033374,-93.313643,4,"Camden","Victory",1,1,"Westminster",7674,697.7
"33",-93.2801139998612,44.9445580001516,33,"02/12/2019 10:41pm","3200 block of Blaisdell Avenue so,Minneapolis,MN",44.944558,-93.280114,8,"Powderhorn","Lyndale",5,1,"Westminster",5594.9,570.6
"34",-93.2425070003977,44.9640180000307,34,"02/12/2019 10:41pm","21st Ave and 9th st s,Minneapolis,MN",44.964018,-93.242507,6,"Longfellow","Seward",4,1,"Westminster",5526.3,637.5
"35",-93.2479640002384,44.9843949999293,35,"02/12/2019 10:44pm","523 university ave se,Minneapolis,MN",44.984395,-93.247964,3,"University","Marcy Holmes",4,1,"Westminster",4823.3,541.8
"36",-93.2473679997333,45.0088819996046,36,"02/12/2019 10:46pm","1998 Central ave ne,Minneapolis,MN",45.008882,-93.247368,1,"Northeast","Holland",2,1,"Westminster",6546.2,656.6
"37",-93.2474119999638,45.0294340003788,37,"02/12/2019 10:49pm","3400 Block of central ave Ne,Minneapolis,MN",45.029434,-93.247412,1,"Northeast","Columbia Park",2,1,"Westminster",8780.1,826.4
"38",-93.2451309999956,44.983287000095,38,"02/12/2019 10:53pm","717 university ave se,Minneapolis,MN",44.983287,-93.245131,3,"University","Marcy Holmes",4,1,"Westminster",5071.3,564.1
"39",-93.2801139998612,44.9445580001516,39,"02/12/2019 10:54pm","3200 Blaisdell ave south,Minneapolis,MN",44.944558,-93.280114,8,"Powderhorn","Lyndale",5,1,"Westminster",5594.9,570.6
"40",-93.2484860000288,44.9846029996288,40,"02/12/2019 10:54pm","507 UNIVERSITY AVE SE,Minneapolis,MN",44.984603,-93.248486,3,"University","Marcy Holmes",4,1,"Westminster",4870.1,546
"41",-93.2903279996374,44.9886669999821,41,"02/12/2019 10:57pm","1049 7th st n,Minneapolis,MN",44.988667,-93.290328,5,"Near North","Sumner - Glenwood",1,1,"Westminster",1881.2,235.6
"42",-93.2524120003135,44.9377649998549,42,"02/12/2019 10:58pm","3598 Bloomington ave s,Minneapolis,MN",44.937765,-93.252412,9,"Powderhorn","Powderhorn Park",6,1,"Westminster",7383.2,749.4
"43",-93.244365999791,44.9829610003499,43,"02/12/2019 10:59pm","803 UNIVERSITY AVE SE,Minneapolis,MN",44.982961,-93.244366,3,"University","Marcy Holmes",4,1,"Westminster",5061.3,566.2
"44",-93.2528350000352,44.9105359996367,44,"02/12/2019 11:00pm","5100 Bloomington,Minneapolis,MN",44.910536,-93.252835,11,"Nokomis","Hale",6,1,"Westminster",11021.3,962.2
"45",-93.2629400001808,44.9412240001875,45,"02/12/2019 11:02pm","3400 chicago,Minneapolis,MN",44.941224,-93.26294,9,"Powderhorn","Central",5,1,"Westminster",6154.5,663.3
"46",-93.2532330004026,45.001205999957,46,"02/12/2019 11:03pm","687 13th ave NE,Minneapolis,MN",45.001206,-93.253233,1,"Northeast","Logan Park",2,1,"Westminster",5354.3,553.6
"47",-93.2752409999721,44.9878239997778,47,"02/12/2019 11:04pm","625 2nd st N,Minneapolis,MN",44.987824,-93.275241,3,"Central","North Loop",1,1,"Westminster",2735.8,327.5
"48",-93.2752349996954,44.9878009996165,48,"02/12/2019 11:04pm","619 2nd st n ,Minneapolis,MN",44.987801,-93.275235,3,"Central","North Loop",1,1,"Westminster",2733.6,327.1
"49",-93.2630919999958,45.0074530002558,49,"02/12/2019 11:06pm","1899 University ave ne,Minneapolis,MN",45.007453,-93.263092,1,"Northeast","Holland",2,1,"Westminster",5148.8,531.9
"50",-93.2609849999578,45.000740000051,50,"02/12/2019 11:10pm","414 13th ave NE,Minneapolis,MN",45.00074,-93.260985,3,"Northeast","Sheridan",2,1,"Westminster",4610.8,490.8
"51",-93.2797059999319,44.9465739995904,51,"02/12/2019 11:11pm","3100 blaisdell ave so,Minneapolis,MN",44.946574,-93.279706,8,"Powderhorn","Lyndale",5,1,"Westminster",5740.2,592.3
"52",-93.2601480000301,45.0009129999351,52,"02/12/2019 11:12pm","509 13th ave ne,Minneapolis,MN",45.000913,-93.260148,3,"Northeast","Sheridan",2,1,"Westminster",4651.6,492.2
"53",-93.2797059999319,44.9465739995904,53,"02/12/2019 11:13pm","3100 blaisdell ave so,Minneapolis,MN",44.946574,-93.279706,8,"Powderhorn","Lyndale",5,1,"Westminster",5740.2,592.3
"54",-93.3006899999435,44.9528240000276,54,"02/12/2019 11:19pm","2737 Irving ave s ,Minneapolis,MN",44.952824,-93.30069,7,"Calhoun Isle","East Isles",3,1,"Westminster",4207.5,448.4
"55",-93.2524110002674,44.9359339999542,55,"02/12/2019 11:21pm","3699 bloomington ave,Minneapolis,MN",44.935934,-93.252411,9,"Powderhorn","Powderhorn Park",6,1,"Westminster",7589.7,766
"56",-93.3017169996398,44.9497480002701,56,"02/12/2019 11:21pm","2871 IRVING AVE S ,Minneapolis,MN",44.949748,-93.301717,7,"Calhoun Isle","East Isles",3,1,"Westminster",4865.9,524
"57",-93.2706680004279,44.9874260003097,57,"02/12/2019 11:22pm","98 4th ave n,Minneapolis,MN",44.987426,-93.270668,3,"Central","North Loop",3,1,"Westminster",3106,385.9
"58",-93.3012139998262,44.9533510000487,58,"02/12/2019 11:24pm","2724 Irving Ave S,Minneapolis,MN",44.953351,-93.301214,7,"Calhoun Isle","East Isles",3,1,"Westminster",4151.4,458.6
"59",-93.3138889997775,45.0296759998475,59,"02/12/2019 11:24pm","4101 THOMAS AVE N ,Minneapolis,MN",45.029676,-93.313889,4,"Camden","Victory",1,1,"Westminster",7270.8,668
"60",-93.2198329997931,44.9707959996358,60,"02/12/2019 11:25pm","177 27th ave se,Minneapolis,MN",44.970796,-93.219833,2,"University","Prospect Park - East River Road",4,1,"Westminster",7452,699
"61",-93.2993959996256,44.9568179998508,61,"02/12/2019 11:26pm","2513 IRVING AVE S,Minneapolis,MN",44.956818,-93.299396,7,"Calhoun Isle","East Isles",3,1,"Westminster",3780.5,426.1
"62",-93.2694839997867,44.9880779997999,62,"02/12/2019 11:26pm","101 4th ave n,Minneapolis,MN",44.988078,-93.269484,3,"Central","North Loop",3,1,"Westminster",3228.9,415.3
"63",-93.3017759996626,44.9511860000339,63,"02/12/2019 11:27pm","2841 Irving Ave s,Minneapolis,MN",44.951186,-93.301776,7,"Calhoun Isle","East Isles",3,1,"Westminster",4412.9,489
"64",-93.3136030000783,45.0313040002794,64,"02/12/2019 11:29pm","4199 thomas ave n,Minneapolis,MN",45.031304,-93.313603,4,"Camden","Victory",1,1,"Westminster",7443.8,679.2
"65",-93.2944780003594,45.0004160003982,65,"02/12/2019 11:32pm","2101 EMERSON AVE N ,Minneapolis,MN",45.000416,-93.294478,5,"Near North","Jordan",1,1,"Westminster",3317.7,360.3
"66",-93.3023479999602,44.9516220003551,66,"02/12/2019 11:32pm","2832 Irving Ave s,Minneapolis,MN",44.951622,-93.302348,7,"Calhoun Isle","East Isles",3,1,"Westminster",4368.5,481
"67",-93.2390490001112,44.9639820001692,67,"02/12/2019 11:33pm","2242 9TH ST S,Minneapolis,MN",44.963982,-93.239049,6,"Longfellow","Seward",4,1,"Westminster",5918.9,627.5
"68",-93.2233259998949,44.9005179999058,68,"02/12/2019 11:36pm","5642 34 ave s,Minneapolis,MN",44.900518,-93.223326,11,"Nokomis","Wenonah",6,1,"Westminster",12317.9,1100.6
