OBJECTID,OFT_1,STREET_O_NAME_1,STREET_F_NAME_1,STREET_T_NAME_1,NETWORK,BRANCH,SECTION,PAVEMENT,BASE,CONST_YR,RENOVATION_YR,SEALCOAT_YR,SEALCOAT_COUNT,OVERLAY_YR,PCI,PCI_BRANCH_AVG,LENGTH,COMMENTS_1,COMMENTS_2,INSPECTION_DATE,REFNO_ALL
2001,26202640254,26TH AVE S,26TH ST E,25TH ST E,CSAH,48,8,ASPH/CONC,UNKNOWN,1969,,,,2010,,,656,,,,2600
2002,3.213E+11,VAN WHITE MEMORIAL BLVD,4TH AVE N,5TH AVE N,RES,9746,15,ASPHALT9,CRUSH.CONC,2005,,,0,,,87,310,,,2010-05-14T00:00:00.000Z,11848
2003,22170125R09A,LINDEN AVE,12TH ST N,I-394 W RAMP,MSA,350,2,ASPHALT,UNKNOWN,1985,,,0,2011,100,,260,,,2011-11-01T00:00:00.000Z,9500
2004,26333171345,26TH AVE SE,WEEKS AVE SE,COMO AVE SE,RES,2584,10,CONCRETE7,S.GRAN.MAT.,1967,,,,,,78,569,,,2012-07-13T00:00:00.000Z,2611
2005,34404020412,34TH ST E,40TH AVE S,41ST AVE S,MSA,246,2,ASPHALT9,S.GRAN.MAT.,1986,,2005,2,,84,,331,,,2013-10-01T00:00:00.000Z,3736
2006,34404420442,34TH ST E,44TH AVE S,44TH AVE S,RES,2794,14,ASPHALT7,CRUSH.CONC,1983,,1993,2,,,61,37,,,2013-08-26T00:00:00.000Z,3740
2007,34404520462,34TH ST E,45TH AVE S,46TH AVE S,RES,2794,14,ASPHALT7,CRUSH.CONC,1983,,1993,2,,,61,284,,,2013-08-26T00:00:00.000Z,3743
2008,34404720482,34TH ST E,47TH AVE S,48TH AVE S,RES,2794,14,ASPHALT7,CRUSH.CONC,1983,,1993,2,,,61,327,,,2013-08-26T00:00:00.000Z,3745
2009,34404821507,34TH ST E,48TH AVE S,EDMUND BLVD,RES,2794,14,ASPHALT7,CRUSH.CONC,1983,,1993,2,,,61,194,,,2013-08-26T00:00:00.000Z,3746
2010,0349DEDW1904,34TH ST W,DEAD END (W),IRVING AVE S,RES,2781,10,ASPHALT7,CRUSH.CONC,1991,,2001,2,,,52,256,,,2013-06-11T00:00:00.000Z,3747
