Type,X,Y,OBJECTID,Call_Taken,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
TOW,-93.288021,45.013111,1,02/12/2019 09:18pm,"3201-3299 lyndale ave n ,Minneapolis,MN",45.013111,-93.288021,4,Camden,McKinley,1,1,Westminster
TOW,-93.262588,44.94139,2,02/12/2019 09:19pm,"3398 Chicago ave s,Minneapolis,MN",44.94139,-93.262588,9,Powderhorn,Central,5,1,Westminster
TOW,-93.262606,44.943159,3,02/12/2019 09:19pm,"3301 Chicago Avenue South,Minneapolis,MN",44.943159,-93.262606,9,Powderhorn,Central,5,1,Westminster
TOW,-93.288036,45.016708,4,02/12/2019 09:26pm,"3400-3498 lyndale ave n ,Minneapolis,MN",45.016708,-93.288036,4,Camden,McKinley,1,1,Westminster
TOW,-93.288049,45.01849,5,02/12/2019 09:34pm,"3498 Lyndale Ave n,Minneapolis,MN",45.01849,-93.288049,4,Camden,McKinley,1,1,Westminster
TOW,-93.277559,44.963797,6,02/12/2019 09:38pm,"1 E 19TH ST,Minneapolis,MN",44.963797,-93.277559,6,Central,Steven's Square - Loring Heights,3,1,Westminster
TOW,-93.288036,45.016708,7,02/12/2019 09:40pm,"3400 Lyndale Ave n ,Minneapolis,MN",45.016708,-93.288036,4,Camden,McKinley,1,1,Westminster
TOW,-93.276939,44.964115,8,02/12/2019 09:45pm,"16 EAST / 19TH ST,Minneapolis,MN",44.964115,-93.276939,6,Central,Steven's Square - Loring Heights,3,1,Westminster
TOW,-93.276939,44.964115,9,02/12/2019 09:47pm,"16 19th st e,Minneapolis,MN",44.964115,-93.276939,6,Central,Steven's Square - Loring Heights,3,1,Westminster
TOW,-93.262901,44.939686,10,02/12/2019 10:04pm,"3458 Chicago Ave,Minneapolis,MN",44.939686,-93.262901,9,Powderhorn,Central,5,1,Westminster
TOW,-93.235311,44.987678,11,02/12/2019 10:08pm,"1116 Como Ave se,Minneapolis,MN",44.987678,-93.235311,2,University,Como,4,1,Westminster
TOW,-93.279701,44.948359,12,02/12/2019 10:10pm,"3000 Blaisdell ,Minneapolis,MN",44.948359,-93.279701,10,Powderhorn,Whittier,3,1,Westminster
TOW,-93.288113,45.029786,13,02/12/2019 10:11pm,"4100 lyndale ave n,Minneapolis,MN",45.029786,-93.288113,4,Camden,Webber - Camden,1,1,Westminster
TOW,-93.234368,44.988003,14,02/12/2019 10:14pm,"1203 como ave se,Minneapolis,MN",44.988003,-93.234368,2,University,Como,4,1,Westminster
TOW,-93.288113,45.029786,15,02/12/2019 10:14pm,"4100 Lyndale Ave N,Minneapolis,MN",45.029786,-93.288113,4,Camden,Webber - Camden,1,1,Westminster
TOW,-93.288113,45.029786,16,02/12/2019 10:14pm,"4100 lyndale ave n,Minneapolis,MN",45.029786,-93.288113,4,Camden,Webber - Camden,1,1,Westminster
TOW,-93.26271,44.901657,17,02/12/2019 10:18pm,"5580 Chicago Avenue South,Minneapolis,MN",44.901657,-93.26271,11,Nokomis,Diamond Lake,5,1,Westminster
TOW,-93.286223,45.038466,18,02/12/2019 10:19pm,"4600-4698 lyndale ave n ,Minneapolis,MN",45.038466,-93.286223,4,Camden,Camden Industrial,1,1,Westminster
TOW,-93.284856,45.043116,19,02/12/2019 10:21pm,"4816 Lyndale Ave n,Minneapolis,MN",45.043116,-93.284856,4,Camden,Lind - Bohanon,1,1,Westminster
TOW,-93.294142,45.010084,20,02/12/2019 10:23pm,"2914 emerson,Minneapolis,MN",45.010084,-93.294142,5,Near North,Hawthorne,1,1,Westminster
TOW,-93.270034,44.980257,21,02/12/2019 10:23pm,"300 Block of central,Minneapolis,MN",44.980257,-93.270034,3,Central,Downtown West,3,1,Westminster
TOW,-93.291119,45.036847,22,02/12/2019 10:24pm,"4500-4598 Bryant ave n ,Minneapolis,MN",45.036847,-93.291119,4,Camden,Lind - Bohanon,1,1,Westminster
TOW,-93.262861,44.923878,23,02/12/2019 10:25pm,"4340 Chicago Avenue South,Minneapolis,MN",44.923878,-93.262861,8,Nokomis,Regina,5,1,Westminster
TOW,-93.262822,44.929857,24,02/12/2019 10:28pm,"4020 Chicago Avenue South,Minneapolis,MN",44.929857,-93.262822,8,Powderhorn,Bryant,5,1,Westminster
TOW,-93.236833,45.030075,25,02/12/2019 10:29pm,"3419 Johnson st ne,Minneapolis,MN",45.030075,-93.236833,1,Northeast,Waite Park,2,1,Westminster
TOW,-93.24743,45.02568,26,02/12/2019 10:31pm,"3194 Central Ave NE,Minneapolis,MN",45.02568,-93.24743,1,Northeast,Columbia Park,2,1,Westminster
TOW,-93.262901,44.916003,27,02/12/2019 10:33pm,"4800 Chicago ave s,Minneapolis,MN",44.916003,-93.262901,8,Nokomis,Field,5,1,Westminster
TOW,-93.248712,44.984692,28,02/12/2019 10:35pm,"503 unniversity ave se,Minneapolis,MN",44.984692,-93.248712,3,University,Marcy Holmes,4,1,Westminster
TOW,-93.262689,44.948357,29,02/12/2019 10:35pm,"3000 Chicago ave s,Minneapolis,MN",44.948357,-93.262689,6,Phillips,Phillips West,3,1,Westminster
TOW,-93.236807,45.021465,30,02/12/2019 10:36pm,"2935 Johnson st NE,Minneapolis,MN",45.021465,-93.236807,1,Northeast,Audubon Park,2,1,Westminster
TOW,-93.279706,44.946574,31,02/12/2019 10:37pm,"3100 block of Blaisdell Avenue so,Minneapolis,MN",44.946574,-93.279706,8,Powderhorn,Lyndale,5,1,Westminster
TOW,-93.313643,45.033374,32,02/12/2019 10:38pm,"4299 Thomas Ave n ,Minneapolis,MN",45.033374,-93.313643,4,Camden,Victory,1,1,Westminster
TOW,-93.280114,44.944558,33,02/12/2019 10:41pm,"3200 block of Blaisdell Avenue so,Minneapolis,MN",44.944558,-93.280114,8,Powderhorn,Lyndale,5,1,Westminster
TOW,-93.242507,44.964018,34,02/12/2019 10:41pm,"21st Ave and 9th st s,Minneapolis,MN",44.964018,-93.242507,6,Longfellow,Seward,4,1,Westminster
