OBJECTID,OFT_1,STREET_O_N,STREET_F_N,STREET_T_N,NETWORK,BRANCH,SECTION,PAVEMENT,BASE,CONST_YR,RENOVATION,SEALCOAT_Y,SEALCOAT_C,OVERLAY_YR,PCI,PCI_BRANCH,LENGTH,COMMENTS_1,COMMENTS_2,INSPECTION,REFNO_ALL,join_X,join_Y,join_Objectid,join_Call_Taken,join_Location,join_Latitude,join_Longitude,join_Ward,join_Community,join_Neighborho,join_Tow_Zone,join_Day,join_Snow_Emerg,distance
"2001","026202640254",26TH AVE S,26TH ST E,25TH ST E,CSAH,"048","8",ASPH/CONC,UNKNOWN,"1969",,,,"2010",,,"656",,,,"2600",-93.237521,44.954437,"2602",2019-02-14T00:00:00.000Z,2529 24TH AVE S,44.954437,-93.237521,"2",Longfellow,Seward,"4","3",Westminster,0.00306884367769046
"2002","321300400050",VAN WHITE MEMORIAL BLVD,4TH AVE N,5TH AVE N,RES,"9746","15",ASPHALT9,CRUSH.CONC,"2005",,,"0",,,"87","310",,,2010-05-14T00:00:00.000Z,"11848",-93.292221,44.980838,"4072",2019-02-13T00:00:00.000Z,302 DUPONT AVE N,44.980838,-93.292221,"5",Near North,Sumner - Glenwood,"3","2",Westminster,0.00141142010637011
"2003",22170125R09A,LINDEN AVE,12TH ST N,I-394 W RAMP,MSA,"350","2",ASPHALT,UNKNOWN,"1985",,,"0","2011","100",,"260",,,2011-11-01T00:00:00.000Z,"9500",-93.280844,44.96955,"1340",2019-02-13T00:00:00.000Z,1308 SPRUCE PLACE,44.96955,-93.280844,"7",Central,Loring Park,"3","2",Westminster,0.00632740106080771
"2004","026333171345",26TH AVE SE,WEEKS AVE SE,COMO AVE SE,RES,"2584","10",CONCRETE7,S.GRAN.MAT.,"1967",,,,,,"78","569",,,2012-07-13T00:00:00.000Z,"2611",-93.216558,44.986459,"1147",2019-02-13T00:00:00.000Z,890 WEEKS AVE SE,44.986459,-93.216558,"2",University,Como,"4","2",Westminster,4.22835218905998e-05
"2005","034404020412",34TH ST E,40TH AVE S,41ST AVE S,MSA,"246","2",ASPHALT9,S.GRAN.MAT.,"1986",,"2005","2",,"84",,"331",,,2013-10-01T00:00:00.000Z,"3736",-93.214027,44.940084,"2635",2019-02-14T00:00:00.000Z,3443 41ST AVE S,44.940084,-93.214027,"12",Longfellow,Howe,"6","3",Westminster,0.00138094519326664
"2006","034404420442",34TH ST E,44TH AVE S,44TH AVE S,RES,"2794","14",ASPHALT7,CRUSH.CONC,"1983",,"1993","2",,,"61","37",,,2013-08-26T00:00:00.000Z,"3740",-93.210046,44.941804,"4269",2019-02-13T00:00:00.000Z,3340 44TH AVE S,44.941804,-93.210046,"2",Longfellow,Cooper,"6","2",Westminster,0.000306061573961514
"2007","034404520462",34TH ST E,45TH AVE S,46TH AVE S,RES,"2794","14",ASPHALT7,CRUSH.CONC,"1983",,"1993","2",,,"61","284",,,2013-08-26T00:00:00.000Z,"3743",-93.210046,44.941804,"4269",2019-02-13T00:00:00.000Z,3340 44TH AVE S,44.941804,-93.210046,"2",Longfellow,Cooper,"6","2",Westminster,0.00135704485912573
"2008","034404720482",34TH ST E,47TH AVE S,48TH AVE S,RES,"2794","14",ASPHALT7,CRUSH.CONC,"1983",,"1993","2",,,"61","327",,,2013-08-26T00:00:00.000Z,"3745",-93.210046,44.941804,"4269",2019-02-13T00:00:00.000Z,3340 44TH AVE S,44.941804,-93.210046,"2",Longfellow,Cooper,"6","2",Westminster,0.00367985355017665
"2009","034404821507",34TH ST E,48TH AVE S,EDMUND BLVD,RES,"2794","14",ASPHALT7,CRUSH.CONC,"1983",,"1993","2",,,"61","194",,,2013-08-26T00:00:00.000Z,"3746",-93.208751,44.944539,"4191",2019-02-13T00:00:00.000Z,3216 45TH AVE S,44.944539,-93.208751,"2",Longfellow,Cooper,"6","2",Westminster,0.00471375703945184
"2010",0349DEDW1904,34TH ST W,DEAD END (W),IRVING AVE S,RES,"2781","10",ASPHALT7,CRUSH.CONC,"1991",,"2001","2",,,"52","256",,,2013-06-11T00:00:00.000Z,"3747",-93.302024,44.941475,"1641",2019-02-13T00:00:00.000Z,1518 34TH ST W,44.941475,-93.302024,"10",Calhoun Isle,ECCO,"5","2",Westminster,0.000207271298540718
"2011","034919041823",34TH ST W,IRVING AVE S,HUMBOLDT AVE S,RES,"2781","10",ASPHALT7,CRUSH.CONC,"1991",,"2001","2",,,"52","329",,,2013-06-11T00:00:00.000Z,"3748",-93.302024,44.941475,"1641",2019-02-13T00:00:00.000Z,1518 34TH ST W,44.941475,-93.302024,"10",Calhoun Isle,ECCO,"5","2",Westminster,0.000147390652321776
"2012","034918191809",34TH ST W,HOLMES AVE S,HENNEPIN AVE,RES,"2781","10",ASPHALT7,CRUSH.CONC,"1991",,"2001","2",,,"52","329",,,2013-06-11T00:00:00.000Z,"3750",-93.299549,44.941187,"1933",2019-02-14T00:00:00.000Z,1441 34TH ST W,44.941187,-93.299549,"10",Calhoun Isle,ECCO,"5","3",Westminster,0.000138132149711841
"2013","034916181516",34TH ST W,FREMONT AVE S,EMERSON AVE S,RES,"2781","10",ASPHALT7,CRUSH.CONC,"1991",,"2001","2",,,"52","329",,,2013-06-11T00:00:00.000Z,"3753",-93.294816,44.941275,"1580",2019-02-13T00:00:00.000Z,1204 34TH ST W,44.941275,-93.294816,"10",Calhoun Isle,CARAG,"5","2",Westminster,4.15697991580916e-05
"2014","029313453003",29TH AVE SE,COMO AVE SE,TALMAGE AVE SE,MSA,"346","1",ASPHALT9,S.GRAN.MAT.,"1987",,"2006","2",,"85",,"658",,,2010-05-27T00:00:00.000Z,"3057",-93.211304,44.989766,"1653",2019-02-13T00:00:00.000Z,2930 TALMAGE AVE SE,44.989766,-93.211304,"1",University,Como,"4","2",Westminster,0.00133493369487323
"2015","029400321334",29TH ST E,3RD AVE S,CLINTON AVE,RES,"2635","29",ASPHALT9,S.GRAN.MAT.,"1974",,"1999","3",,,"62","329",,,2013-08-08T00:00:00.000Z,"3062",-93.27197,44.949821,"2824",2019-02-14T00:00:00.000Z,323 29TH ST E,44.949821,-93.27197,"6",Phillips,Phillips West,"3","3",Westminster,0.000250338797875426
"2016","029400522618",29TH ST E,5TH AVE S,PORTLAND AVE,RES,"2635","29",ASPHALT9,S.GRAN.MAT.,"1974",,"1999","3",,,"62","329",,,2013-08-08T00:00:00.000Z,"3065",-93.267908,44.949904,"4795",2019-02-14T00:00:00.000Z,2823 5TH AVE S,44.949904,-93.267908,"6",Phillips,Phillips West,"3","3",Westminster,0.000172273064453968
"2017","029401320142",29TH ST E,13TH AVE S,14TH AVE S,RES,"2635",29A,ASPHALT9,S.GRAN.MAT.,"1974",,"1999","3",,,"62","329",,,2013-08-08T00:00:00.000Z,"3069",-93.25634,44.949724,"3848",2019-02-13T00:00:00.000Z,2910 13TH AVE S,44.949724,-93.25634,"9",Phillips,Midtown Phillips,"3","2",Westminster,0.000343069171047978
"2018","029412140162",29TH ST E,BLOOMINGTON AVE,16TH AVE S,RES,"2635","30",ASPHALT9,S.GRAN.MAT.,"1975",,"1999","3",,,"62","329",Pavement Exception: Pavement and some C&G on N. side (from 18th-Cedar) was built in 2006.,,2013-08-08T00:00:00.000Z,"3072",-93.250751,44.949888,"2811",2019-02-14T00:00:00.000Z,1707 29TH ST E,44.949888,-93.250751,"9",Phillips,East Phillips,"3","3",Westminster,0.000501788607965198
"2019","032915161418",32ND ST W,EMERSON AVE S,DUPONT AVE S,RES,"2768","6",ASPHALT7,CRUSH.CONC,"1992",,"2009","2",,,"89","329",,,2012-11-19T00:00:00.000Z,"3456",-93.29434,44.944804,"4597",2019-02-14T00:00:00.000Z,1121 32ND ST W,44.944804,-93.29434,"10",Calhoun Isle,CARAG,"5","3",Westminster,7.26430233600846e-05
"2020","032913381228",32ND ST W,COLFAX AVE S,BRYANT AVE S,RES,"2768","6",ASPHALT7,CRUSH.CONC,"1992",,"2009","2",,,"89","330",,,2012-11-19T00:00:00.000Z,"3458",-93.290508,44.944967,"4578",2019-02-14T00:00:00.000Z,817 32ND ST W,44.944967,-93.290508,"10",Calhoun Isle,CARAG,"5","3",Westminster,0.000294085364881357
"2021","032911042230",32ND ST W,ALDRICH AVE S,LYNDALE AVE S,RES,"2768","6",ASPHALT7,CRUSH.CONC,"1992",,"2009","2",,,"89","329",,,2012-11-19T00:00:00.000Z,"3460",-93.28924,44.944597,"4568",2019-02-14T00:00:00.000Z,719 32ND ST W,44.944597,-93.28924,"10",Calhoun Isle,CARAG,"5","3",Westminster,0.00013470603116515
"2022","032917152615",32ND ST W,GRAND AVE S,PLEASANT AVE,RES,"2662","11",ASPHALT7m,S.GRAN.MAT.,"1976",,"2001","3",,,"67","330",,,2011-05-26T00:00:00.000Z,"3464",-93.283035,44.944696,"4522",2019-02-14T00:00:00.000Z,305 32ND ST W,44.944696,-93.283035,"8",Powderhorn,Lyndale,"5","3",Westminster,3.80200958036011e-05
"2023","033413441326",33RD ST E,COLUMBUS AVE,CHICAGO AVE,RES,"2647","7",ASPHALT7m,S.GRAN.MAT.,"1975",,"1995","3",,,"65","329",,,2013-05-31T00:00:00.000Z,"3551",-93.263428,44.943183,"980",2019-02-13T00:00:00.000Z,740 33RD ST E,44.943183,-93.263428,"9",Powderhorn,Central,"5","2",Westminster,7.56522529437352e-06
"2024","033415080102",33RD ST E,ELLIOT AVE,10TH AVE S,RES,"2652",17A,ASPHALT7m,S.GRAN.MAT.,"1976",,"2006","3",,,"73","329",,,2013-08-26T00:00:00.000Z,"3553",-93.261305,44.943068,"2182",2019-02-14T00:00:00.000Z,3303 ELLIOT AVE,44.943068,-93.261305,"9",Powderhorn,Powderhorn Park,"6","3",Westminster,0.00010351499375699
"2025","036029112823",36TH AVE N,SHERIDAN AVE N,RUSSELL AVE N,RES,"2630","15",CONCRETE7,S.GRAN.MAT.,"1971",,,,,,"73","328",,,2013-08-01T00:00:00.000Z,"3922",-93.310601,45.022332,"2894",2019-02-13T00:00:00.000Z,2420 37TH AVE N,45.022332,-93.310601,"4",Camden,Cleveland,"1","2",Westminster,0.00187991520447348
"2026","036028232702",36TH AVE N,RUSSELL AVE N,QUEEN AVE N,RES,"2630","15",CONCRETE7,S.GRAN.MAT.,"1971",,,,,,"73","329",,,2013-08-01T00:00:00.000Z,"3923",-93.307956,45.020455,"4183",2019-02-13T00:00:00.000Z,2216 36TH AVE N,45.020455,-93.307956,"4",Camden,Folwell,"1","2",Westminster,0.00158697209467876
"2027","036025072403",36TH AVE N,OLIVER AVE N,NEWTON AVE N,RES,"2684","11",ASPHALT7,CRUSH.ROCK,"1978",,"1999","3",,,"49","329",,,2013-06-10T00:00:00.000Z,"3926",-93.305573,45.020436,"4197",2019-02-13T00:00:00.000Z,1918 36TH AVE N,45.020436,-93.305573,"4",Camden,Folwell,"1","2",Westminster,0.000156290472600417
"2028","036022212105",36TH AVE N,LOGAN AVE N,KNOX AVE N,RES,"2684","11",ASPHALT7,CRUSH.ROCK,"1978",,"1999","3",,,"49","329",,,2013-06-10T00:00:00.000Z,"3929",-93.301898,45.02009,"3888",2019-02-13T00:00:00.000Z,3554 KNOX AVE N,45.02009,-93.301898,"4",Camden,Folwell,"1","2",Westminster,0.000322420838728143
"2029","036019031822",36TH AVE N,IRVING AVE N,HUMBOLDT AVE N,RES,"2684","11",ASPHALT7,CRUSH.ROCK,"1978",,"1999","3",,,"49","328",,,2013-06-10T00:00:00.000Z,"3932",-93.298175,45.020244,"1739",2019-02-14T00:00:00.000Z,3559 HUMBOLDT AVE N,45.020244,-93.298175,"4",Camden,Folwell,"1","3",Westminster,0.000138362360231562
"2030","036014171339",36TH AVE N,DUPONT AVE N,COLFAX AVE N,RES,"2712","9",ASPHALT7,CRUSH.CONC,"1981",,"2006","3",,,"61","325",,,2012-04-26T00:00:00.000Z,"3937",-93.291825,45.020212,"4188",2019-02-13T00:00:00.000Z,3550 COLFAX AVE N,45.020212,-93.291825,"4",Camden,McKinley,"1","2",Westminster,0.000119425539055477
"2031","036011032229",36TH AVE N,ALDRICH AVE N,LYNDALE AVE N,RES,"2712","9",ASPHALT7,CRUSH.CONC,"1981",,"2006","3",,,"61","326",,,2012-04-26T00:00:00.000Z,"3940",-93.289047,45.020888,"167",02/13/2019 11:48am,"3618 aldrich ave n ,Minneapolis,MN",45.020888,-93.289047,"4",Camden,McKinley,"1","2",Westminster,0.000579903378179523
