GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Aggregate number of vehicles available:,Margin of Error; Aggregate number of vehicles available:,Estimate; Aggregate number of vehicles available: - Owner occupied,Margin of Error; Aggregate number of vehicles available: - Owner occupied,Estimate; Aggregate number of vehicles available: - Renter occupied,Margin of Error; Aggregate number of vehicles available: - Renter occupied
1400000US27053000101,27053000101,"Census Tract 1.01, Hennepin County, Minnesota",1821,145,1527,147,294,138
1400000US27053000102,27053000102,"Census Tract 1.02, Hennepin County, Minnesota",2647,347,2083,292,564,191
1400000US27053000300,27053000300,"Census Tract 3, Hennepin County, Minnesota",2283,204,1933,209,350,127
1400000US27053000601,27053000601,"Census Tract 6.01, Hennepin County, Minnesota",3292,297,2682,258,610,267
1400000US27053000603,27053000603,"Census Tract 6.03, Hennepin County, Minnesota",2094,160,1882,215,212,134
1400000US27053001100,27053001100,"Census Tract 11, Hennepin County, Minnesota",1326,121,889,116,437,117
1400000US27053001700,27053001700,"Census Tract 17, Hennepin County, Minnesota",1441,157,866,147,575,134
1400000US27053002200,27053002200,"Census Tract 22, Hennepin County, Minnesota",590,104,307,63,283,106
1400000US27053002400,27053002400,"Census Tract 24, Hennepin County, Minnesota",2009,270,798,283,1211,216
1400000US27053002700,27053002700,"Census Tract 27, Hennepin County, Minnesota",1329,169,882,140,447,159
1400000US27053003200,27053003200,"Census Tract 32, Hennepin County, Minnesota",912,132,567,125,345,118
1400000US27053003300,27053003300,"Census Tract 33, Hennepin County, Minnesota",896,151,488,132,408,121
1400000US27053003800,27053003800,"Census Tract 38, Hennepin County, Minnesota",2595,306,195,179,2400,274
1400000US27053005901,27053005901,"Census Tract 59.01, Hennepin County, Minnesota",931,179,69,68,862,172
1400000US27053005902,27053005902,"Census Tract 59.02, Hennepin County, Minnesota",809,158,142,72,667,150
1400000US27053006800,27053006800,"Census Tract 68, Hennepin County, Minnesota",2436,324,271,121,2165,335
1400000US27053007700,27053007700,"Census Tract 77, Hennepin County, Minnesota",2726,335,258,118,2468,323
1400000US27053007801,27053007801,"Census Tract 78.01, Hennepin County, Minnesota",777,123,167,75,610,126
1400000US27053008100,27053008100,"Census Tract 81, Hennepin County, Minnesota",2452,289,728,149,1724,288
1400000US27053008200,27053008200,"Census Tract 82, Hennepin County, Minnesota",1867,324,546,274,1321,285
1400000US27053008300,27053008300,"Census Tract 83, Hennepin County, Minnesota",1014,195,499,186,515,166
1400000US27053008400,27053008400,"Census Tract 84, Hennepin County, Minnesota",1247,189,829,189,418,129
1400000US27053008500,27053008500,"Census Tract 85, Hennepin County, Minnesota",2222,248,900,185,1322,219
1400000US27053009500,27053009500,"Census Tract 95, Hennepin County, Minnesota",1656,199,1103,164,553,162
1400000US27053009600,27053009600,"Census Tract 96, Hennepin County, Minnesota",2079,172,1591,196,488,129
1400000US27053010600,27053010600,"Census Tract 106, Hennepin County, Minnesota",2103,127,1793,147,310,112
1400000US27053010700,27053010700,"Census Tract 107, Hennepin County, Minnesota",1777,155,1505,153,272,71
1400000US27053011000,27053011000,"Census Tract 110, Hennepin County, Minnesota",2578,173,2264,195,314,95
1400000US27053011703,27053011703,"Census Tract 117.03, Hennepin County, Minnesota",3110,167,2810,163,300,119
1400000US27053011704,27053011704,"Census Tract 117.04, Hennepin County, Minnesota",2282,149,2166,169,116,95
1400000US27053011800,27053011800,"Census Tract 118, Hennepin County, Minnesota",3409,266,2949,288,460,198
1400000US27053011998,27053011998,"Census Tract 119.98, Hennepin County, Minnesota",3045,239,2581,245,464,106
1400000US27053012001,27053012001,"Census Tract 120.01, Hennepin County, Minnesota",4255,331,3505,282,750,247
1400000US27053012003,27053012003,"Census Tract 120.03, Hennepin County, Minnesota",3796,307,2398,381,1398,324
1400000US27053012101,27053012101,"Census Tract 121.01, Hennepin County, Minnesota",1789,178,1266,165,523,124
1400000US27053012102,27053012102,"Census Tract 121.02, Hennepin County, Minnesota",2246,188,1758,211,488,173
1400000US27053020101,27053020101,"Census Tract 201.01, Hennepin County, Minnesota",2362,206,2211,235,151,90
1400000US27053020102,27053020102,"Census Tract 201.02, Hennepin County, Minnesota",1595,152,1241,143,354,134
1400000US27053020200,27053020200,"Census Tract 202, Hennepin County, Minnesota",4133,422,2385,361,1748,365
1400000US27053020301,27053020301,"Census Tract 203.01, Hennepin County, Minnesota",1712,157,1423,174,289,71
1400000US27053020302,27053020302,"Census Tract 203.02, Hennepin County, Minnesota",1462,144,968,166,494,156
1400000US27053020303,27053020303,"Census Tract 203.03, Hennepin County, Minnesota",2394,217,2032,226,362,144
1400000US27053020304,27053020304,"Census Tract 203.04, Hennepin County, Minnesota",2174,202,1603,236,571,126
1400000US27053020400,27053020400,"Census Tract 204, Hennepin County, Minnesota",3018,245,1865,215,1153,184
1400000US27053020500,27053020500,"Census Tract 205, Hennepin County, Minnesota",2299,159,1975,199,324,143
1400000US27053020600,27053020600,"Census Tract 206, Hennepin County, Minnesota",1386,151,1157,144,229,65
1400000US27053020700,27053020700,"Census Tract 207, Hennepin County, Minnesota",3049,226,2582,253,467,167
1400000US27053020801,27053020801,"Census Tract 208.01, Hennepin County, Minnesota",1439,147,1232,143,207,74
1400000US27053020804,27053020804,"Census Tract 208.04, Hennepin County, Minnesota",1957,220,1364,195,593,159
1400000US27053020902,27053020902,"Census Tract 209.02, Hennepin County, Minnesota",1732,133,1599,152,133,82
1400000US27053020903,27053020903,"Census Tract 209.03, Hennepin County, Minnesota",2285,205,1975,216,310,151
1400000US27053021001,27053021001,"Census Tract 210.01, Hennepin County, Minnesota",4026,275,3116,347,910,261
1400000US27053021002,27053021002,"Census Tract 210.02, Hennepin County, Minnesota",1333,125,887,119,446,116
1400000US27053021100,27053021100,"Census Tract 211, Hennepin County, Minnesota",1313,118,1076,137,237,60
1400000US27053021200,27053021200,"Census Tract 212, Hennepin County, Minnesota",3478,214,2942,240,536,185
1400000US27053021300,27053021300,"Census Tract 213, Hennepin County, Minnesota",2984,243,1934,287,1050,247
1400000US27053021400,27053021400,"Census Tract 214, Hennepin County, Minnesota",2241,170,1666,212,575,195
1400000US27053021501,27053021501,"Census Tract 215.01, Hennepin County, Minnesota",2558,233,1781,207,777,189
1400000US27053021502,27053021502,"Census Tract 215.02, Hennepin County, Minnesota",1870,257,788,166,1082,230
1400000US27053021503,27053021503,"Census Tract 215.03, Hennepin County, Minnesota",3134,268,2350,289,784,169
1400000US27053021504,27053021504,"Census Tract 215.04, Hennepin County, Minnesota",2676,181,2148,183,528,132
1400000US27053021505,27053021505,"Census Tract 215.05, Hennepin County, Minnesota",3349,267,2271,302,1078,189
1400000US27053021601,27053021601,"Census Tract 216.01, Hennepin County, Minnesota",3267,225,2769,227,498,135
1400000US27053021602,27053021602,"Census Tract 216.02, Hennepin County, Minnesota",3968,248,2877,338,1091,262
1400000US27053021700,27053021700,"Census Tract 217, Hennepin County, Minnesota",3922,299,3469,396,453,210
1400000US27053021800,27053021800,"Census Tract 218, Hennepin County, Minnesota",1746,159,1447,148,299,91
1400000US27053021900,27053021900,"Census Tract 219, Hennepin County, Minnesota",2734,215,2209,207,525,117
1400000US27053022000,27053022000,"Census Tract 220, Hennepin County, Minnesota",1467,94,832,106,635,109
1400000US27053022101,27053022101,"Census Tract 221.01, Hennepin County, Minnesota",1887,178,1228,167,659,118
