GEOID,LOGRECNO,TRACT,Neighborhood_Name,Neighborhood_Num,WARDS,population,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008
270530001011000,91563,000101,Shingle Creek,01,4,74,74,40,13,0,7,0,8,6
270530001011001,91564,000101,Shingle Creek,01,4,99,99,31,25,1,18,0,13,11
270530001011002,91565,000101,Shingle Creek,01,4,54,54,28,5,5,7,0,2,7
270530001011003,91566,000101,Shingle Creek,01,4,53,53,20,16,2,14,0,0,1
270530001011004,91567,000101,Shingle Creek,01,4,60,60,17,26,0,11,0,0,6
270530001011005,91568,000101,Shingle Creek,01,4,58,58,24,27,0,6,0,0,1
270530001011006,91569,000101,Shingle Creek,01,4,73,73,27,14,2,26,0,4,0
270530001011007,91570,000101,Shingle Creek,01,4,46,46,20,21,0,0,0,0,5
270530001011008,91571,000101,Shingle Creek,01,4,45,45,23,17,0,4,0,1,0
270530001011009,91572,000101,Shingle Creek,01,4,35,35,17,11,0,3,0,0,4
270530001011010,91573,000101,Shingle Creek,01,4,52,52,22,13,0,0,0,6,11
270530001011011,91574,000101,Shingle Creek,01,4,65,65,44,15,0,3,0,0,3
270530001011012,91575,000101,Shingle Creek,01,4,87,87,33,16,1,22,0,4,11
270530001011013,91576,000101,Shingle Creek,01,4,76,76,12,39,0,19,0,2,4
270530001011014,91577,000101,Shingle Creek,01,4,0,0,0,0,0,0,0,0,0
270530001011015,91578,000101,Shingle Creek,01,4,0,0,0,0,0,0,0,0,0
270530001011016,91579,000101,Shingle Creek,01,4,88,88,26,45,0,4,0,3,10
270530001011017,91580,000101,Shingle Creek,01,4,0,0,0,0,0,0,0,0,0
270530001011018,91581,000101,Shingle Creek,01,4,0,0,0,0,0,0,0,0,0
270530001011019,91582,000101,Shingle Creek,01,4,0,0,0,0,0,0,0,0,0
270530001011020,91583,000101,Shingle Creek,01,4,0,0,0,0,0,0,0,0,0
270530001011021,91584,000101,Shingle Creek,01,4,0,0,0,0,0,0,0,0,0
270530001011022,91585,000101,Shingle Creek,01,4,0,0,0,0,0,0,0,0,0
270530001011023,91586,000101,Shingle Creek,01,4,0,0,0,0,0,0,0,0,0
270530001012000,91588,000101,Shingle Creek,01,4,20,20,3,4,0,0,0,10,3
270530001012001,91589,000101,Shingle Creek,01,4,51,51,24,9,0,14,0,0,4
270530001012002,91590,000101,Shingle Creek,01,4,74,74,47,23,0,1,0,2,1
270530001012003,91591,000101,Shingle Creek,01,4,62,62,37,12,6,0,0,0,7
270530001012004,91592,000101,Shingle Creek,01,4,77,77,21,23,11,16,0,0,6
270530001012005,91593,000101,Shingle Creek,01,4,42,42,29,5,0,0,0,0,8
270530001012006,91594,000101,Shingle Creek,01,4,0,0,0,0,0,0,0,0,0
270530001012007,91595,000101,Shingle Creek,01,4,88,88,30,26,5,23,0,0,4
270530001012008,91596,000101,Shingle Creek,01,4,52,52,34,16,1,0,0,0,1
270530001012009,91597,000101,Shingle Creek,01,4,64,64,24,17,0,18,0,2,3
270530001012010,91598,000101,Shingle Creek,01,4,47,47,39,7,0,0,0,1,0
270530001012011,91599,000101,Shingle Creek,01,4,64,64,14,14,0,25,0,11,0
270530001013000,91601,000101,Humboldt Industrial Area,08,4,0,0,0,0,0,0,0,0,0
270530001013001,91602,000101,Humboldt Industrial Area,08,4,0,0,0,0,0,0,0,0,0
270530001013002,91603,000101,Humboldt Industrial Area,08,4,0,0,0,0,0,0,0,0,0
270530001013003,91604,000101,Shingle Creek,01,4,41,41,25,10,0,2,0,0,4
270530001013004,91605,000101,Shingle Creek,01,4,59,59,24,11,0,5,0,18,1
270530001013005,91606,000101,Shingle Creek,01,4,55,55,27,11,0,12,0,0,5
270530001013006,91607,000101,Shingle Creek,01,4,55,55,22,12,0,15,0,4,2
270530001013007,91608,000101,Shingle Creek,01,4,71,71,29,17,0,19,0,0,6
270530001013008,91609,000101,Shingle Creek,01,4,74,74,41,3,0,25,0,3,2
270530001013009,91610,000101,Shingle Creek,01,4,75,75,48,12,0,7,0,5,3
270530001013010,91611,000101,Shingle Creek,01,4,52,52,30,6,0,13,0,2,1
270530001013011,91612,000101,Shingle Creek,01,4,59,59,33,15,0,5,0,0,6
270530001013012,91613,000101,Shingle Creek,01,4,37,37,36,0,0,0,0,0,1
270530001013013,91614,000101,Shingle Creek,01,4,56,56,15,29,0,7,0,2,3
270530001013014,91615,000101,Shingle Creek,01,4,48,48,25,11,0,4,0,8,0
270530001013015,91616,000101,Humboldt Industrial Area,08,4,0,0,0,0,0,0,0,0,0
270530001014000,91618,000101,Shingle Creek,01,4,121,121,67,11,0,25,0,8,10
270530001014001,91619,000101,Shingle Creek,01,4,78,78,27,11,0,33,0,4,3
270530001014002,91620,000101,Shingle Creek,01,4,47,47,34,3,1,8,0,0,1
270530001014003,91621,000101,Shingle Creek,01,4,77,77,38,20,0,19,0,0,0
270530001014004,91622,000101,Shingle Creek,01,4,80,80,40,20,0,6,0,8,6
270530001014005,91623,000101,Shingle Creek,01,4,65,65,38,26,1,0,0,0,0
270530001014006,91624,000101,Shingle Creek,01,4,80,80,40,17,3,5,0,14,1
270530001014007,91625,000101,Shingle Creek,01,4,105,105,25,31,1,38,0,0,10
270530001014008,91626,000101,Shingle Creek,01,4,90,90,32,18,1,28,0,1,10
270530001021000,91629,000102,Lind - Bohanon,02,4,0,0,0,0,0,0,0,0,0
270530001021001,91630,000102,Lind - Bohanon,02,4,0,0,0,0,0,0,0,0,0
270530001021002,91631,000102,Lind - Bohanon,02,4,0,0,0,0,0,0,0,0,0
270530001021003,91632,000102,Lind - Bohanon,02,4,74,74,22,18,0,27,0,6,1
270530001021004,91633,000102,Lind - Bohanon,02,4,36,36,8,4,0,24,0,0,0
270530001021005,91634,000102,Lind - Bohanon,02,4,88,88,73,10,5,0,0,0,0
270530001021006,91635,000102,Lind - Bohanon,02,4,63,63,36,14,6,5,0,0,2
270530001021007,91636,000102,Lind - Bohanon,02,4,75,75,29,18,0,18,0,10,0
270530001021008,91637,000102,Lind - Bohanon,02,4,71,71,47,8,1,12,0,3,0
270530001021009,91638,000102,Lind - Bohanon,02,4,21,21,6,4,0,9,0,2,0
270530001021010,91639,000102,Lind - Bohanon,02,4,112,112,10,51,0,40,0,4,7
270530001021011,91640,000102,Lind - Bohanon,02,4,52,52,21,23,0,2,0,0,6
270530001021012,91641,000102,Lind - Bohanon,02,4,61,61,11,14,6,19,0,9,2
270530001021013,91642,000102,Lind - Bohanon,02,4,82,82,34,32,0,4,0,8,4
270530001021014,91643,000102,Lind - Bohanon,02,4,83,83,32,24,0,16,0,8,3
270530001021015,91644,000102,Camden Industrial,09,4,0,0,0,0,0,0,0,0,0
270530001021016,91645,000102,Camden Industrial,09,4,0,0,0,0,0,0,0,0,0
270530001021017,91646,000102,Lind - Bohanon,02,4,30,30,3,25,0,0,0,0,2
270530001021018,91647,000102,Camden Industrial,09,4,0,0,0,0,0,0,0,0,0
270530001021019,91648,000102,Camden Industrial,09,4,0,0,0,0,0,0,0,0,0
270530001021020,91649,000102,Camden Industrial,09,4,0,0,0,0,0,0,0,0,0
270530001021021,91650,000102,Camden Industrial,09,4,0,0,0,0,0,0,0,0,0
270530001021022,91651,000102,Lind - Bohanon,02,4,71,71,21,30,0,3,0,15,2
270530001021023,91652,000102,Lind - Bohanon,02,4,193,193,47,86,15,19,0,6,20
270530001021024,91653,000102,Lind - Bohanon,02,4,28,28,9,10,8,0,0,0,1
270530001022000,91655,000102,Lind - Bohanon,02,4,69,69,36,20,0,6,0,2,5
270530001022001,91656,000102,Lind - Bohanon,02,4,69,69,25,27,1,0,0,4,12
270530001022002,91657,000102,Lind - Bohanon,02,4,79,79,21,39,1,14,0,0,4
270530001022003,91658,000102,Lind - Bohanon,02,4,62,62,38,16,0,0,0,8,0
270530001022004,91659,000102,Lind - Bohanon,02,4,66,66,34,19,0,9,0,0,4
270530001022005,91660,000102,Lind - Bohanon,02,4,48,48,37,7,0,0,0,4,0
270530001022006,91661,000102,Lind - Bohanon,02,4,102,102,67,27,0,0,0,1,7
270530001022007,91662,000102,Lind - Bohanon,02,4,7,7,7,0,0,0,0,0,0
270530001022008,91663,000102,Lind - Bohanon,02,4,7,7,7,0,0,0,0,0,0
270530001022009,91664,000102,Lind - Bohanon,02,4,0,0,0,0,0,0,0,0,0
270530001022010,91665,000102,Lind - Bohanon,02,4,11,11,6,3,0,0,0,1,1
270530001022011,91666,000102,Lind - Bohanon,02,4,49,49,19,23,3,0,0,4,0
270530001022012,91667,000102,Lind - Bohanon,02,4,60,60,32,20,1,4,0,0,3
270530001022013,91668,000102,Lind - Bohanon,02,4,61,61,17,36,0,8,0,0,0
270530001022014,91669,000102,Lind - Bohanon,02,4,64,64,23,33,0,5,0,0,3
270530001022015,91670,000102,Lind - Bohanon,02,4,0,0,0,0,0,0,0,0,0
270530001022016,91671,000102,Lind - Bohanon,02,4,72,72,10,38,2,15,0,2,5
270530001022017,91672,000102,Lind - Bohanon,02,4,0,0,0,0,0,0,0,0,0
270530001023000,91674,000102,Lind - Bohanon,02,4,66,66,26,25,0,8,0,0,7
270530001023001,91675,000102,Lind - Bohanon,02,4,55,55,32,7,3,7,0,2,4
270530001023002,91676,000102,Lind - Bohanon,02,4,61,61,49,4,0,3,0,4,1
270530001023003,91677,000102,Lind - Bohanon,02,4,57,57,47,10,0,0,0,0,0
270530001023004,91678,000102,Lind - Bohanon,02,4,73,73,43,13,4,5,0,4,4
270530001023005,91679,000102,Lind - Bohanon,02,4,49,49,29,16,0,4,0,0,0
270530001023006,91680,000102,Lind - Bohanon,02,4,47,47,27,17,0,0,0,0,3
