X,Y,Objectid,Call_Taken,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg,join_OBJECTID,join_OFT_1,join_STREET_O_N,join_STREET_F_N,join_STREET_T_N,join_NETWORK,join_BRANCH,join_SECTION,join_PAVEMENT,join_BASE,join_CONST_YR,join_RENOVATION,join_SEALCOAT_Y,join_SEALCOAT_C,join_OVERLAY_YR,join_PCI,join_PCI_BRANCH,join_LENGTH,join_COMMENTS_1,join_COMMENTS_2,join_INSPECTION,join_REFNO_ALL,distance
-93.278627,44.969651,"1",02/13/2019 04:51am,"1350 NICOLLET AVE S,Minneapolis,MN",44.969651,-93.278627,"7",Central,Loring Park,"3","1",Westminster,"6163","171822112405",GRANT ST W,LASALLE AVE,NICOLLET AVE,MSA,"178","1",ASPHALT9,UNKNOWN,"1982",,"2012","2",,"75",,"394",,,2013-09-23T00:00:00.000Z,"8656",0.000178848746516164
-93.283376,45.012225,"2",02/13/2019 08:13am,"3122 N 3rd St ,Minneapolis,MN",45.012225,-93.283376,"5",Near North,Hawthorne,"1","2",Westminster,"5906","003503102226",3RD ST N,31ST AVE N,LOWRY AVE N,RES,"2883","7",ASPHALT7,CRUSH.CONC,"1993",,"1994","1",,,"72","416",,,2011-06-08T00:00:00.000Z,"363",3.48651833542851e-06
-93.290887,44.965678,"3",02/13/2019 08:17am,"1786 Bryant ave s ,Minneapolis,MN",44.965678,-93.290887,"7",Calhoun Isle,Lowry Hill,"3","2",Westminster,"6164","292613381228",SUMMIT AVE,COLFAX AVE S,BRYANT AVE S,RES,"2767","12",ASPHALT7,CRUSH.CONC,"1988",,"2000","2",,,"69","331",,,2013-07-29T00:00:00.000Z,"11478",0.0002586507871732
-93.255279,44.939,"4",02/13/2019 08:25am,"3514 14th ave s,Minneapolis,MN",44.939,-93.255279,"9",Powderhorn,Powderhorn Park,"6","2",Westminster,"505","014203640354",14TH AVE S,36TH ST E,35TH ST E,RES,"2652","11",ASPHALT7m,S.GRAN.MAT.,"1976",,"2006","3",,,"73","658",,,2013-08-26T00:00:00.000Z,"1428",0.000320344727272321
-93.284648,45.013901,"5",02/13/2019 08:26am,"3222 4th st n,Minneapolis,MN",45.013901,-93.284648,"4",Camden,McKinley,"1","2",Westminster,"6122","004522260330",4TH ST N,LOWRY AVE N,33RD AVE N,RES,"2726","3",ASPHALT7,CRUSH.CONC,"1995",,"1996","1",,,"59","674",,,2012-04-30T00:00:00.000Z,"486",0.000288941343861887
-93.284665,45.013846,"6",02/13/2019 08:26am,"3220 4th st n ,Minneapolis,MN",45.013846,-93.284665,"4",Camden,McKinley,"1","2",Westminster,"6122","004522260330",4TH ST N,LOWRY AVE N,33RD AVE N,RES,"2726","3",ASPHALT7,CRUSH.CONC,"1995",,"1996","1",,,"59","674",,,2012-04-30T00:00:00.000Z,"486",0.000271317129433152
-93.255239,44.938637,"7",02/13/2019 08:30am,"3524 14th Avenue South,Minneapolis,MN",44.938637,-93.255239,"9",Powderhorn,Powderhorn Park,"6","2",Westminster,"505","014203640354",14TH AVE S,36TH ST E,35TH ST E,RES,"2652","11",ASPHALT7m,S.GRAN.MAT.,"1976",,"2006","3",,,"73","658",,,2013-08-26T00:00:00.000Z,"1428",0.000283566504025478
-93.301596,45.011772,"8",02/13/2019 08:30am,"3010 Knox ave, Minneapolis,MN",45.011772,-93.301596,"5",Near North,Jordan,"1","2",Westminster,"7953","210503002226",KNOX AVE N,30TH AVE N,LOWRY AVE N,RES,"2605","5",CONCRETE7,S.GRAN.MAT.,"1969",,,,,,"66","604",,,2013-05-27T00:00:00.000Z,"9297",0.000316248137566699
-93.284631,45.008273,"9",02/13/2019 08:36am,"2732 4th st n ,Minneapolis,MN",45.008273,-93.284631,"5",Near North,Hawthorne,"1","2",Westminster,"4761","028000450035",28TH AVE N,4TH ST N,3RD ST N,RES,"2883","9",ASPHALT7,CRUSH.CONC,"1993",,"1994","1",,,"72","396",,,2011-06-08T00:00:00.000Z,"2835",0.000150610041776846
-93.280491,44.968938,"10",02/13/2019 08:37am,"120 14TH ST W,Minneapolis,MN",44.968938,-93.280491,"7",Central,Loring Park,"3","2",Westminster,"590","014929212211",14TH ST W,SPRUCE PL,LASALLE AVE,RES,"2910","29",ASPHALT7,CRUSH.CONC,"2000",,"2001","1",,,"76","389",,,2013-08-20T00:00:00.000Z,"1469",0.000146479682771652
